Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
ビブリオ・アルギノリチクス	Vibrio alginolyticus
ビブリオ・フルビアリス感染	Vibrio fluvialis infection
フィラデルフィア染色体検査	Philadelphia chromosome test
フィラデルフィア染色体陰性	Philadelphia chromosome negative
フィラデルフィア染色体陽性	Philadelphia chromosome positive
フィンケルシュタインテスト	Finkelstein test
フラボバクテリウム検査陽性	Flavobacterium test positive
ブラストシスティス検査陽性	Blastocystis test positive
ブレビバクテリウム検査陰性	Brevibacterium test negative
ブレビバクテリウム検査陽性	Brevibacterium test positive
ヘモフィルス性化膿性関節炎	Septic arthritis haemophilus
ヘリコバクター十二指腸潰瘍	Helicobacter duodenal ulcer
ヘリコバクター性十二指腸炎	Helicobacter duodenitis
ヘリコバクター性消化性潰瘍	Peptic ulcer helicobacter
ベンゾジアゼピン系薬物濃度	Benzodiazepine drug level
ホロトランスコバラミン検査	Holotranscobalamin test
ホロトランスコバラミン減少	Holotranscobalamin decreased
ボディ・マス・インデックス	Body mass index
ポリオーマウイルス検査陰性	Polyomavirus test negative
ポリオーマウイルス検査陽性	Polyomavirus test positive
マイコバクテリウムケローネ	Mycobacterium chelonae
マイコバクテリウム・ゼノピ	Mycobacterium xenopi
マイコバクテリウム検査陰性	Mycobacterium test negative
マイコバクテリウム検査陽性	Mycobacterium test positive
マイコプラズマ・ディスパー	Mycoplasma dispar
マイコプラズマ性子宮頚管炎	Cervicitis mycoplasmal
ミトコンドリア神経胃腸脳症	Mitochondrial neurogastrointestinal encephalopathy
ミネラルコルチコイド欠乏症	Mineralocorticoid deficiency
メタノサルサイナ・バーケリ	Methanosarcina barkeri
モノアミンオキシダーゼ増加	Monoamine oxidase increased
ラクトバシラス・ラムノサス	Lacticaseibacillus rhamnosus
ラジオアイソトープスキャン	Radioisotope scan
ラジオアイソトープ摂取増加	Radioisotope uptake increased
リウマトイド好中球性皮膚症	Rheumatoid neutrophilic dermatosis
リゾビウム・レグミノサルム	Rhizobium leguminosarum
リューウィストリパノソーマ	Trypanosoma lewisi
レジオネラ・ロングビーチェ	Legionella longbeachae
レンサ球菌感染後糸球体腎炎	Post streptococcal glomerulonephritis
レーザードップラー血流測定	Laser doppler flowmetry
レーザー屈折矯正角膜切除術	Photorefractive keratectomy
ロイシンアミノペプチダーゼ	Leucine aminopeptidase
ロドバクター・カプスラタス	Rhodobacter capsulatus
ワクチンブレイクスルー感染	Vaccine breakthrough infection
一酸化炭素ヘモグロビン増加	Carboxyhaemoglobin increased
一酸化炭素ヘモグロビン正常	Carboxyhaemoglobin normal
一酸化炭素ヘモグロビン減少	Carboxyhaemoglobin decreased
不妊手術を受けたパートナー	Sterilised partner
乳児神経軸索ジストロフィー	Infantile neuroaxonal dystrophy
乳房切除後リンパ浮腫症候群	Postmastectomy lymphoedema syndrome
偽コリンエステラーゼ欠損症	Pseudocholinesterase deficiency
先天性ミトコンドリア細胞症	Congenital mitochondrial cytopathy
先天性メトヘモグロビン血症	Congenital methaemoglobinaemia
先天性赤血球形成異常性貧血	Congenital dyserythropoietic anaemia
先天性黄斑部ジストロフィー	Macular dystrophy congenital
内視鏡的逆行性胆道膵管撮影	Endoscopic retrograde cholangiopancreatography
分類不能な骨髄異形成症候群	Myelodysplastic syndrome unclassifiable
制限エンドヌクレアーゼ測定	Restriction endonuclease assay
前立腺性酸性ホスファターゼ	Prostatic acid phosphatase
副腎皮質刺激ホルモン欠損症	Adrenocorticotropic hormone deficiency
化学療法剤血管外溢出の処置	Chemotherapy extravasation management
化学療法誘発神経毒性の減弱	Chemotherapy neurotoxicity attenuation
医療機器による心因性合併症	Device psychogenic complication
医療機器のコンピュータ問題	Device computer issue
医療機器エントラップメント	Medical device entrapment
医療機器テレメトリーの問題	Device telemetry issue
医療機器プログラミング過誤	Device programming error
医療機器メンテナンスの問題	Device maintenance issue
原発性高コレステロール血症	Primary hypercholesterolaemia
喉頭病変を伴う関節リウマチ	Laryngeal rheumatoid arthritis
大動脈コンピュータ断層撮影	Computerised tomogram aorta
尿中ポルホビリノーゲン増加	Urine porphobilinogen increased
尿中ポルホビリノーゲン正常	Urine porphobilinogen normal
強皮症オーバーラップ症候群	Scleroderma overlap syndrome
心筋ストレインイメージング	Myocardial strain imaging
心臓ペースメーカー機能評価	Cardiac pacemaker evaluation
心臓自律神経ニューロパチー	Cardiac autonomic neuropathy
抗アセチルコリン受容体抗体	Antiacetylcholine receptor antibody
抗アドレナリン作動性症候群	Adrenolytic syndrome
播種性エンテロウイルス感染	Disseminated enteroviral infection
放射線性副甲状腺機能低下症	Radiation hypoparathyroidism
新生児呼吸性アルカローシス	Neonatal respiratory alkalosis
歯科用コンピュータ断層撮影	Computerised tomogram dental
特発性乳児高カルシウム血症	Idiopathic infantile hypercalcaemia
甲状腺中毒性周期性四肢麻痺	Thyrotoxic periodic paralysis
甲状腺機能低下性ミオパチー	Hypothyroid myopathy
皮膚リンパ管型ノカルジア症	Lymphocutaneous nocardiosis
眼窩コンパートメント症候群	Orbital compartment syndrome
磁気共鳴エラストグラフィー	Magnetic resonance elastography
神経セロイドリポフスチン症	Neuronal ceroid lipofuscinosis
神経学的リハビリテーション	Neurological rehabilitation
経カテーテル動脈化学塞栓術	Transcatheter arterial chemoembolisation
経皮的冠インターベンション	Percutaneous coronary intervention
網状赤血球ヘモグロビン増加	Reticulocyte haemoglobin increased
網状赤血球ヘモグロビン減少	Reticulocyte haemoglobin decreased
網状赤血球ヘモグロビン等量	Reticulocyte haemoglobin equivalent
緊張性ハムストリング症候群	Tight hamstring syndrome
耳・脊椎・巨大骨端異形成症	Otospondylomegaepiphyseal dysplasia
胎児メトトレキサート症候群	Foetal methotrexate syndrome
脳性ナトリウム利尿ペプチド	Brain natriuretic peptide
腫瘍随伴性ネフローゼ症候群	Paraneoplastic nephrotic syndrome
腰部くも膜下腔腹腔シャント	Lumboperitoneal shunt
腹腔鏡下スリーブ状胃切除術	Endoscopic sleeve gastroplasty
腹部コンパートメント症候群	Abdominal compartment syndrome
自己免疫性リンパ増殖症候群	Autoimmune lymphoproliferative syndrome
自己免疫性甲状腺機能低下症	Autoimmune hypothyroidism
自己愛性パーソナリティ障害	Narcissistic personality disorder
若年性ミオクロニーてんかん	Juvenile myoclonic epilepsy
血中アルカリホスファターゼ	Blood alkaline phosphatase
血中コリンエステラーゼ増加	Blood cholinesterase increased
血中コリンエステラーゼ正常	Blood cholinesterase normal
血中コリンエステラーゼ減少	Blood cholinesterase decreased
血中コリンエステラーゼ異常	Blood cholinesterase abnormal
血中トロンボプラスチン増加	Blood thromboplastin increased
血中トロンボプラスチン正常	Blood thromboplastin normal
血中トロンボプラスチン減少	Blood thromboplastin decreased
血中トロンボプラスチン異常	Blood thromboplastin abnormal
血管新生バイオマーカー上昇	Angiogenesis biomarker increased
血管新生バイオマーカー低下	Angiogenesis biomarker decreased
超音波肝エラストグラフィー	Ultrasound liver elastography
遠隔転移を伴う乳房血管肉腫	Breast angiosarcoma metastatic
遠隔転移を伴う子宮内膜肉腫	Endometrial sarcoma metastatic
遠隔転移を伴う後腹膜新生物	Retroperitoneal neoplasm metastatic
遠隔転移を伴う神経内分泌癌	Neuroendocrine carcinoma metastatic
遠隔転移を伴う神経線維肉腫	Neurofibrosarcoma metastatic
遠隔転移を伴う骨外性骨肉腫	Extraskeletal osteosarcoma metastatic
遺伝性出血性毛細血管拡張症	Hereditary haemorrhagic telangiectasia
門脈脾静脈腸間膜静脈血栓症	Portosplenomesenteric venous thrombosis
非定型マイコバクテリア感染	Atypical mycobacterial infection
非定型マイコバクテリア肺炎	Atypical mycobacterial pneumonia
高インスリン血症性低血糖症	Hyperinsulinaemic hypoglycaemia
高クロール血性アシドーシス	Acidosis hyperchloraemic
Bilharz住血吸虫症	Schistosomiasis haematobia
Peronospora属	Peronospora
びまん性メサンギウム硬化	Diffuse mesangial sclerosis
アクチノバチラス・スイス	Actinobacillus suis
アクティベーション症候群	Activation syndrome
アシネトバクター性菌血症	Acinetobacter bacteraemia
アシネトバクター検査陽性	Acinetobacter test positive
アストルウイルス性胃腸炎	Gastroenteritis astroviral
アストロウイルス検査陽性	Astrovirus test positive
アスペルギルス性副鼻腔炎	Sinusitis aspergillus
アドレナリン作動性症候群	Adrenergic syndrome
アナフィラキシーショック	Anaphylactic shock
アナフィラキシー予防療法	Anaphylaxis prophylaxis
アフェレーシス関連合併症	Apheresis related complication
アルカノバクテリウム感染	Arcanobacterium infection
アルカノバクテリウム検査	Arcanobacterium test
アルコールに関連する問題	Alcohol problem
アルファウイルス検査陽性	Alphavirus test positive
アルブミン・グロブリン比	Albumin globulin ratio
アレルギー性好酸球増加症	Allergic eosinophilia
アレルギー警告皮膚テスト	Allergy alert test
アロンシャンウイルス感染	Alongshan virus infection
アンジオテンシン変換酵素	Angiotensin converting enzyme
アンドロゲン不感性症候群	Androgen insensitivity syndrome
インスリン自己免疫症候群	Insulin autoimmune syndrome
インターロイキン濃度増加	Interleukin level increased
インターロイキン濃度減少	Interleukin level decreased
ウイルス性角膜ぶどう膜炎	Viral keratouveitis
ウレアプラズマ子宮頚管炎	Ureaplasma cervicitis
